2019-09-06 11:04:58 --> authentication --> login --> login -->  --> 
2019-09-06 11:08:02 --> appraisal_template --> insert --> template -->  --> POLC_MANAGER
2019-09-06 11:08:02 --> appraisal_template --> insert --> template_code -->  --> PAR_001
2019-09-06 11:08:02 --> appraisal_template --> insert --> applicable_to_id -->  --> 1
2019-09-06 11:08:02 --> appraisal_template --> insert --> applicable_to -->  --> 4,10
2019-09-06 11:08:02 --> appraisal_template --> insert --> description -->  --> POLC for managers.
2019-09-06 11:14:25 --> appraisal_template --> insert --> template_id -->  --> 1
2019-09-06 11:14:25 --> appraisal_template --> insert --> template_section -->  --> Planning
2019-09-06 11:14:25 --> appraisal_template --> insert --> sequence -->  --> 1
2019-09-06 11:14:25 --> appraisal_template --> insert --> weight -->  --> 20
2019-09-06 11:14:25 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 14:09:27 --> appraisal_template --> update --> header -->  --> <p>Test for planning</p>
2019-09-06 14:09:27 --> appraisal_template --> update --> footer -->  --> <p>Planning</p>
2019-09-06 14:15:42 --> appraisal_template --> insert --> template_id -->  --> 1
2019-09-06 14:15:42 --> appraisal_template --> insert --> template_section -->  --> Organizing
2019-09-06 14:15:42 --> appraisal_template --> insert --> sequence -->  --> 2
2019-09-06 14:15:42 --> appraisal_template --> insert --> weight -->  --> 20
2019-09-06 14:15:42 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 14:15:42 --> appraisal_template --> insert --> header -->  --> <p>Organizing for Managers</p>
2019-09-06 14:15:42 --> appraisal_template --> insert --> footer -->  --> <p>Organizing</p>
2019-09-06 14:28:26 --> appraisal_template --> insert --> template_id -->  --> 1
2019-09-06 14:28:26 --> appraisal_template --> insert --> template_section -->  --> Leading
2019-09-06 14:28:26 --> appraisal_template --> insert --> sequence -->  --> 3
2019-09-06 14:28:26 --> appraisal_template --> insert --> weight -->  --> 20
2019-09-06 14:28:26 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 14:28:26 --> appraisal_template --> insert --> header -->  --> <p>Leading for Managers</p>
2019-09-06 14:28:26 --> appraisal_template --> insert --> footer -->  --> <p>Leading</p>
2019-09-06 14:31:33 --> appraisal_template --> insert --> template_id -->  --> 1
2019-09-06 14:31:33 --> appraisal_template --> insert --> template_section -->  --> Controlling
2019-09-06 14:31:33 --> appraisal_template --> insert --> sequence -->  --> 4
2019-09-06 14:31:33 --> appraisal_template --> insert --> weight -->  --> 20
2019-09-06 14:31:33 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 14:31:33 --> appraisal_template --> insert --> header -->  --> <p>Controlling for Managers</p>
2019-09-06 14:31:33 --> appraisal_template --> insert --> footer -->  --> <p>Controlling</p>
2019-09-06 14:32:06 --> appraisal_template --> insert --> template_id -->  --> 1
2019-09-06 14:32:06 --> appraisal_template --> insert --> template_section -->  --> TCPA
2019-09-06 14:32:06 --> appraisal_template --> insert --> sequence -->  --> 5
2019-09-06 14:32:06 --> appraisal_template --> insert --> weight -->  --> 20
2019-09-06 14:32:06 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 14:32:06 --> appraisal_template --> insert --> header -->  --> <p>test</p>
2019-09-06 14:32:06 --> appraisal_template --> insert --> footer -->  --> <p>test</p>
2019-09-06 14:32:10 --> appraisal_template --> update --> template --> POLC_MANAGER --> PAR_MANAGER
2019-09-06 14:38:34 --> appraisal_template --> insert --> template -->  --> PAR_SUP
2019-09-06 14:38:34 --> appraisal_template --> insert --> template_code -->  --> PAR_002
2019-09-06 14:38:34 --> appraisal_template --> insert --> applicable_to_id -->  --> 1
2019-09-06 14:38:34 --> appraisal_template --> insert --> applicable_to -->  --> 5
2019-09-06 14:38:34 --> appraisal_template --> insert --> description -->  --> Test PAR for Sups
2019-09-06 14:40:45 --> appraisal_template --> insert --> template_id -->  --> 2
2019-09-06 14:40:45 --> appraisal_template --> insert --> template_section -->  --> Planning
2019-09-06 14:40:45 --> appraisal_template --> insert --> sequence -->  --> 1
2019-09-06 14:40:45 --> appraisal_template --> insert --> weight -->  --> 15
2019-09-06 14:40:45 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 14:40:45 --> appraisal_template --> insert --> header -->  --> <p>test</p>
2019-09-06 14:40:45 --> appraisal_template --> insert --> footer -->  --> <p>test</p>
2019-09-06 14:58:53 --> appraisal_template --> insert --> template_id -->  --> 2
2019-09-06 14:58:53 --> appraisal_template --> insert --> template_section -->  --> Organizing
2019-09-06 14:58:53 --> appraisal_template --> insert --> sequence -->  --> 2
2019-09-06 14:58:53 --> appraisal_template --> insert --> weight -->  --> 15
2019-09-06 14:58:53 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 14:58:53 --> appraisal_template --> insert --> header -->  --> <p>test</p>
2019-09-06 14:58:53 --> appraisal_template --> insert --> footer -->  --> <p>test</p>
2019-09-06 14:59:21 --> appraisal_template --> insert --> template_id -->  --> 2
2019-09-06 14:59:21 --> appraisal_template --> insert --> template_section -->  --> Leading
2019-09-06 14:59:21 --> appraisal_template --> insert --> sequence -->  --> 3
2019-09-06 14:59:21 --> appraisal_template --> insert --> weight -->  --> 15
2019-09-06 14:59:21 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 14:59:21 --> appraisal_template --> insert --> header -->  --> <p>test</p>
2019-09-06 14:59:21 --> appraisal_template --> insert --> footer -->  --> <p>test</p>
2019-09-06 15:02:13 --> appraisal_template --> insert --> template_id -->  --> 2
2019-09-06 15:02:13 --> appraisal_template --> insert --> template_section -->  --> Controlling
2019-09-06 15:02:13 --> appraisal_template --> insert --> sequence -->  --> 4
2019-09-06 15:02:13 --> appraisal_template --> insert --> weight -->  --> 15
2019-09-06 15:02:13 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 15:02:13 --> appraisal_template --> insert --> header -->  --> <p>test</p>
2019-09-06 15:02:13 --> appraisal_template --> insert --> footer -->  --> <p>test</p>
2019-09-06 15:08:49 --> appraisal_template --> insert --> template_id -->  --> 2
2019-09-06 15:08:49 --> appraisal_template --> insert --> template_section -->  --> Contribution to Group
